Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;112.149
Galicia;Total;Febrero;131.003
Galicia;Total;Marzo;153.081
Galicia;Total;Abril;192.698
Galicia;Total;Mayo;190.637
Galicia;Total;Junio;223.705
Galicia;Total;Julio;298.884
Galicia;Total;Agosto;427.613
Galicia;Total;Setiembre;268.462
Galicia;Total;Octubre;217.515
Galicia;Total;Noviembre;161.423
Galicia;Total;Diciembre;142.827
Galicia;Residentes en España;Enero;101.507
Galicia;Residentes en España;Febrero;106.581
Galicia;Residentes en España;Marzo;129.918
Galicia;Residentes en España;Abril;158.236
Galicia;Residentes en España;Mayo;147.902
Galicia;Residentes en España;Junio;171.601
Galicia;Residentes en España;Julio;239.528
Galicia;Residentes en España;Agosto;355.364
Galicia;Residentes en España;Setiembre;213.581
Galicia;Residentes en España;Octubre;176.900
Galicia;Residentes en España;Noviembre;140.210
Galicia;Residentes en España;Diciembre;121.860
Galicia;No residentes en España;Enero;10.642
Galicia;No residentes en España;Febrero;24.422
Galicia;No residentes en España;Marzo;23.163
Galicia;No residentes en España;Abril;34.462
Galicia;No residentes en España;Mayo;42.735
Galicia;No residentes en España;Junio;52.104
Galicia;No residentes en España;Julio;59.357
Galicia;No residentes en España;Agosto;72.248
Galicia;No residentes en España;Setiembre;54.881
Galicia;No residentes en España;Octubre;40.615
Galicia;No residentes en España;Noviembre;21.212
Galicia;No residentes en España;Diciembre;20.967
Galicia;Alemania;Enero;506
Galicia;Alemania;Febrero;983
Galicia;Alemania;Marzo;1.462
Galicia;Alemania;Abril;3.931
Galicia;Alemania;Mayo;5.361
Galicia;Alemania;Junio;5.658
Galicia;Alemania;Julio;4.758
Galicia;Alemania;Agosto;7.081
Galicia;Alemania;Setiembre;5.957
Galicia;Alemania;Octubre;2.918
Galicia;Alemania;Noviembre;1.291
Galicia;Alemania;Diciembre;691
Galicia;Austria;Enero;0
Galicia;Austria;Febrero;50
Galicia;Austria;Marzo;75
Galicia;Austria;Abril;300
Galicia;Austria;Mayo;485
Galicia;Austria;Junio;438
Galicia;Austria;Julio;550
Galicia;Austria;Agosto;572
Galicia;Austria;Setiembre;492
Galicia;Austria;Octubre;366
Galicia;Austria;Noviembre;60
Galicia;Austria;Diciembre;13
Galicia;Bélgica;Enero;66
Galicia;Bélgica;Febrero;144
Galicia;Bélgica;Marzo;137
Galicia;Bélgica;Abril;373
Galicia;Bélgica;Mayo;661
Galicia;Bélgica;Junio;782
Galicia;Bélgica;Julio;2.228
Galicia;Bélgica;Agosto;804
Galicia;Bélgica;Setiembre;793
Galicia;Bélgica;Octubre;185
Galicia;Bélgica;Noviembre;292
Galicia;Bélgica;Diciembre;142
Galicia;Dinamarca;Enero;88
Galicia;Dinamarca;Febrero;96
Galicia;Dinamarca;Marzo;108
Galicia;Dinamarca;Abril;137
Galicia;Dinamarca;Mayo;195
Galicia;Dinamarca;Junio;218
Galicia;Dinamarca;Julio;348
Galicia;Dinamarca;Agosto;582
Galicia;Dinamarca;Setiembre;173
Galicia;Dinamarca;Octubre;109
Galicia;Dinamarca;Noviembre;154
Galicia;Dinamarca;Diciembre;89
Galicia;Finlandia;Enero;9
Galicia;Finlandia;Febrero;0
Galicia;Finlandia;Marzo;141
Galicia;Finlandia;Abril;73
Galicia;Finlandia;Mayo;156
Galicia;Finlandia;Junio;282
Galicia;Finlandia;Julio;115
Galicia;Finlandia;Agosto;41
Galicia;Finlandia;Setiembre;56
Galicia;Finlandia;Octubre;93
Galicia;Finlandia;Noviembre;47
Galicia;Finlandia;Diciembre;53
Galicia;Francia;Enero;825
Galicia;Francia;Febrero;1.426
Galicia;Francia;Marzo;1.500
Galicia;Francia;Abril;2.264
Galicia;Francia;Mayo;4.483
Galicia;Francia;Junio;3.970
Galicia;Francia;Julio;5.068
Galicia;Francia;Agosto;6.781
Galicia;Francia;Setiembre;4.041
Galicia;Francia;Octubre;3.131
Galicia;Francia;Noviembre;1.248
Galicia;Francia;Diciembre;1.263
Galicia;Grecia;Enero;4
Galicia;Grecia;Febrero;32
Galicia;Grecia;Marzo;58
Galicia;Grecia;Abril;77
Galicia;Grecia;Mayo;101
Galicia;Grecia;Junio;114
Galicia;Grecia;Julio;167
Galicia;Grecia;Agosto;282
Galicia;Grecia;Setiembre;102
Galicia;Grecia;Octubre;53
Galicia;Grecia;Noviembre;34
Galicia;Grecia;Diciembre;34
Galicia;Países Bajos;Enero;84
Galicia;Países Bajos;Febrero;160
Galicia;Países Bajos;Marzo;215
Galicia;Países Bajos;Abril;528
Galicia;Países Bajos;Mayo;693
Galicia;Países Bajos;Junio;865
Galicia;Países Bajos;Julio;1.016
Galicia;Países Bajos;Agosto;834
Galicia;Países Bajos;Setiembre;536
Galicia;Países Bajos;Octubre;428
Galicia;Países Bajos;Noviembre;190
Galicia;Países Bajos;Diciembre;142
Galicia;Irlanda;Enero;93
Galicia;Irlanda;Febrero;149
Galicia;Irlanda;Marzo;128
Galicia;Irlanda;Abril;244
Galicia;Irlanda;Mayo;250
Galicia;Irlanda;Junio;647
Galicia;Irlanda;Julio;457
Galicia;Irlanda;Agosto;629
Galicia;Irlanda;Setiembre;381
Galicia;Irlanda;Octubre;158
