Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;134.299
Galicia;Total;Febrero;154.119
Galicia;Total;Marzo;214.636
Galicia;Total;Abril;296.831
Galicia;Total;Mayo;373.093
Galicia;Total;Junio;435.025
Galicia;Total;Julio;561.337
Galicia;Total;Agosto;675.925
Galicia;Total;Septiembre;485.775
Galicia;Total;Octubre;374.290
Galicia;Total;Noviembre;198.161
Galicia;Total;Diciembre;182.698
Galicia;Residentes en España;Enero;114.604
Galicia;Residentes en España;Febrero;132.654
Galicia;Residentes en España;Marzo;177.739
Galicia;Residentes en España;Abril;214.954
Galicia;Residentes en España;Mayo;221.350
Galicia;Residentes en España;Junio;273.485
Galicia;Residentes en España;Julio;408.165
Galicia;Residentes en España;Agosto;504.571
Galicia;Residentes en España;Septiembre;312.121
Galicia;Residentes en España;Octubre;252.380
Galicia;Residentes en España;Noviembre;161.194
Galicia;Residentes en España;Diciembre;155.244
Galicia;No residentes en España;Enero;19.695
Galicia;No residentes en España;Febrero;21.465
Galicia;No residentes en España;Marzo;36.897
Galicia;No residentes en España;Abril;81.877
Galicia;No residentes en España;Mayo;151.743
Galicia;No residentes en España;Junio;161.539
Galicia;No residentes en España;Julio;153.172
Galicia;No residentes en España;Agosto;171.355
Galicia;No residentes en España;Septiembre;173.654
Galicia;No residentes en España;Octubre;121.910
Galicia;No residentes en España;Noviembre;36.967
Galicia;No residentes en España;Diciembre;27.454
Galicia;Unión Europea (sin España);Enero;11.821
Galicia;Unión Europea (sin España);Febrero;15.168
Galicia;Unión Europea (sin España);Marzo;25.165
Galicia;Unión Europea (sin España);Abril;56.636
Galicia;Unión Europea (sin España);Mayo;103.107
Galicia;Unión Europea (sin España);Junio;103.864
Galicia;Unión Europea (sin España);Julio;102.449
Galicia;Unión Europea (sin España);Agosto;133.883
Galicia;Unión Europea (sin España);Septiembre;119.541
Galicia;Unión Europea (sin España);Octubre;74.518
Galicia;Unión Europea (sin España);Noviembre;20.738
Galicia;Unión Europea (sin España);Diciembre;16.230
Galicia;Alemania;Enero;939
Galicia;Alemania;Febrero;977
Galicia;Alemania;Marzo;4.070
Galicia;Alemania;Abril;11.171
Galicia;Alemania;Mayo;23.755
Galicia;Alemania;Junio;20.195
Galicia;Alemania;Julio;16.808
Galicia;Alemania;Agosto;17.645
Galicia;Alemania;Septiembre;25.180
Galicia;Alemania;Octubre;14.680
Galicia;Alemania;Noviembre;3.310
Galicia;Alemania;Diciembre;1.203
Galicia;Austria;Enero;175
Galicia;Austria;Febrero;28
Galicia;Austria;Marzo;303
Galicia;Austria;Abril;1.076
Galicia;Austria;Mayo;2.421
Galicia;Austria;Junio;2.099
Galicia;Austria;Julio;2.142
Galicia;Austria;Agosto;1.814
Galicia;Austria;Septiembre;2.342
Galicia;Austria;Octubre;847
Galicia;Austria;Noviembre;467
Galicia;Austria;Diciembre;104
Galicia;Bélgica;Enero;377
Galicia;Bélgica;Febrero;158
Galicia;Bélgica;Marzo;200
Galicia;Bélgica;Abril;1.101
Galicia;Bélgica;Mayo;2.364
Galicia;Bélgica;Junio;3.124
Galicia;Bélgica;Julio;4.042
Galicia;Bélgica;Agosto;2.584
Galicia;Bélgica;Septiembre;3.669
Galicia;Bélgica;Octubre;2.090
Galicia;Bélgica;Noviembre;532
Galicia;Bélgica;Diciembre;173
Galicia;Dinamarca;Enero;203
Galicia;Dinamarca;Febrero;52
Galicia;Dinamarca;Marzo;237
Galicia;Dinamarca;Abril;848
Galicia;Dinamarca;Mayo;2.697
Galicia;Dinamarca;Junio;1.924
Galicia;Dinamarca;Julio;2.505
Galicia;Dinamarca;Agosto;2.097
Galicia;Dinamarca;Septiembre;2.961
Galicia;Dinamarca;Octubre;1.202
Galicia;Dinamarca;Noviembre;240
Galicia;Dinamarca;Diciembre;28
Galicia;Finlandia;Enero;85
Galicia;Finlandia;Febrero;150
Galicia;Finlandia;Marzo;134
Galicia;Finlandia;Abril;526
Galicia;Finlandia;Mayo;986
Galicia;Finlandia;Junio;1.074
Galicia;Finlandia;Julio;798
Galicia;Finlandia;Agosto;508
Galicia;Finlandia;Septiembre;1.753
Galicia;Finlandia;Octubre;1.889
Galicia;Finlandia;Noviembre;147
Galicia;Finlandia;Diciembre;102
Galicia;Francia;Enero;1.094
Galicia;Francia;Febrero;1.332
Galicia;Francia;Marzo;2.690
Galicia;Francia;Abril;6.537
Galicia;Francia;Mayo;12.541
Galicia;Francia;Junio;12.507
