"País.de.residencia","Meses","Total","Year"
"Alemania",1,439,2000
"Alemania",2,1078,2000
"Alemania",3,1495,2000
"Alemania",4,2143,2000
"Alemania",5,6007,2000
"Alemania",6,5476,2000
"Alemania",7,5506,2000
"Alemania",8,5611,2000
"Alemania",9,5268,2000
"Alemania",10,4128,2000
"Alemania",11,873,2000
"Alemania",12,526,2000
"Alemania",1,506,2001
"Alemania",2,983,2001
"Alemania",3,1462,2001
"Alemania",4,3931,2001
"Alemania",5,5361,2001
"Alemania",6,5658,2001
"Alemania",7,4758,2001
"Alemania",8,7081,2001
"Alemania",9,5957,2001
"Alemania",10,2918,2001
"Alemania",11,1291,2001
"Alemania",12,691,2001
"Alemania",1,636,2002
"Alemania",2,691,2002
"Alemania",3,2579,2002
"Alemania",4,3282,2002
"Alemania",5,5878,2002
"Alemania",6,5717,2002
"Alemania",7,4846,2002
"Alemania",8,7154,2002
"Alemania",9,6100,2002
"Alemania",10,4685,2002
"Alemania",11,1261,2002
"Alemania",12,538,2002
"Alemania",1,670,2003
"Alemania",2,714,2003
"Alemania",3,1387,2003
"Alemania",4,4762,2003
"Alemania",5,6322,2003
"Alemania",6,6992,2003
"Alemania",7,5759,2003
"Alemania",8,7009,2003
"Alemania",9,7046,2003
"Alemania",10,4581,2003
"Alemania",11,1076,2003
"Alemania",12,650,2003
"Alemania",1,913,2004
"Alemania",2,1452,2004
"Alemania",3,1203,2004
"Alemania",4,4409,2004
"Alemania",5,8164,2004
"Alemania",6,7649,2004
"Alemania",7,5915,2004
"Alemania",8,5987,2004
"Alemania",9,7634,2004
"Alemania",10,5841,2004
"Alemania",11,1230,2004
"Alemania",12,1015,2004
"Alemania",1,611,2005
"Alemania",2,899,2005
"Alemania",3,1523,2005
"Alemania",4,3959,2005
"Alemania",5,9504,2005
"Alemania",6,7736,2005
"Alemania",7,6478,2005
"Alemania",8,7802,2005
"Alemania",9,8416,2005
"Alemania",10,6142,2005
"Alemania",11,2529,2005
"Alemania",12,1266,2005
"Alemania",1,1242,2006
"Alemania",2,1676,2006
"Alemania",3,2169,2006
"Alemania",4,5188,2006
"Alemania",5,9564,2006
"Alemania",6,9993,2006
"Alemania",7,7757,2006
"Alemania",8,7445,2006
"Alemania",9,10378,2006
"Alemania",10,5509,2006
"Alemania",11,1990,2006
"Alemania",12,1141,2006
"Alemania",1,1072,2007
"Alemania",2,1883,2007
"Alemania",3,2625,2007
"Alemania",4,6126,2007
"Alemania",5,13504,2007
"Alemania",6,12771,2007
"Alemania",7,8327,2007
"Alemania",8,8139,2007
"Alemania",9,11374,2007
"Alemania",10,7550,2007
"Alemania",11,2137,2007
"Alemania",12,1251,2007
"Alemania",1,1131,2008
"Alemania",2,1654,2008
"Alemania",3,2609,2008
"Alemania",4,6876,2008
"Alemania",5,15796,2008
"Alemania",6,12178,2008
"Alemania",7,9283,2008
"Alemania",8,7755,2008
"Alemania",9,12255,2008
"Alemania",10,9405,2008
"Alemania",11,1839,2008
"Alemania",12,1035,2008
"Alemania",1,1343,2009
"Alemania",2,1076,2009
"Alemania",3,1797,2009
"Alemania",4,6900,2009
"Alemania",5,16496,2009
"Alemania",6,12281,2009
"Alemania",7,8174,2009
"Alemania",8,7804,2009
"Alemania",9,13788,2009
"Alemania",10,9550,2009
"Alemania",11,2056,2009
"Alemania",12,570,2009
"Alemania",1,782,2010
"Alemania",2,1297,2010
"Alemania",3,3058,2010
"Alemania",4,7054,2010
"Alemania",5,15843,2010
"Alemania",6,11622,2010
"Alemania",7,10431,2010
"Alemania",8,9659,2010
"Alemania",9,15617,2010
"Alemania",10,9832,2010
"Alemania",11,1914,2010
"Alemania",12,896,2010
"Alemania",1,905,2011
"Alemania",2,859,2011
"Alemania",3,1933,2011
"Alemania",4,7506,2011
"Alemania",5,16167,2011
"Alemania",6,16887,2011
"Alemania",7,12253,2011
"Alemania",8,12644,2011
"Alemania",9,16624,2011
"Alemania",10,8530,2011
"Alemania",11,1457,2011
"Alemania",12,606,2011
"Alemania",1,715,2012
"Alemania",2,1018,2012
"Alemania",3,2378,2012
"Alemania",4,8072,2012
"Alemania",5,16430,2012
"Alemania",6,13759,2012
"Alemania",7,10194,2012
"Alemania",8,12038,2012
"Alemania",9,15675,2012
"Alemania",10,9338,2012
"Alemania",11,1832,2012
"Alemania",12,1194,2012
"Alemania",1,646,2013
"Alemania",2,1059,2013
"Alemania",3,2804,2013
"Alemania",4,7994,2013
"Alemania",5,17440,2013
"Alemania",6,16456,2013
"Alemania",7,11805,2013
"Alemania",8,12149,2013
"Alemania",9,15241,2013
"Alemania",10,9067,2013
"Alemania",11,1594,2013
"Alemania",12,787,2013
"Alemania",1,576,2014
"Alemania",2,1286,2014
"Alemania",3,2748,2014
"Alemania",4,8767,2014
"Alemania",5,19399,2014
"Alemania",6,17856,2014
"Alemania",7,12088,2014
"Alemania",8,15148,2014
"Alemania",9,20269,2014
"Alemania",10,10858,2014
"Alemania",11,4092,2014
"Alemania",12,1221,2014
"Alemania",1,939,2015
"Alemania",2,977,2015
"Alemania",3,4070,2015
"Alemania",4,11171,2015
"Alemania",5,23755,2015
"Alemania",6,20195,2015
"Alemania",7,16808,2015
"Alemania",8,17645,2015
"Alemania",9,25180,2015
"Alemania",10,14680,2015
"Alemania",11,3310,2015
"Alemania",12,1203,2015
"Alemania",1,878,2016
"Alemania",2,1209,2016
"Alemania",3,5023,2016
"Alemania",4,10664,2016
"Alemania",5,24831,2016
"Alemania",6,21462,2016
"Alemania",7,14822,2016
"Alemania",8,17595,2016
"Alemania",9,24518,2016
"Alemania",10,17549,2016
"Alemania",11,3199,2016
"Alemania",12,1551,2016
"Alemania",1,1269,2017
"Alemania",2,1325,2017
"Alemania",3,3515,2017
"Alemania",4,13165,2017
"Alemania",5,22254,2017
"Alemania",6,23011,2017
"Alemania",7,13413,2017
"Alemania",8,14559,2017
"Alemania",9,24482,2017
"Alemania",10,14860,2017
"Alemania",11,3891,2017
"Alemania",12,1187,2017
"Alemania",1,1153,2018
"Alemania",2,1502,2018
"Alemania",3,5093,2018
"Alemania",4,9667,2018
"Alemania",5,21469,2018
"Alemania",6,15586,2018
"Alemania",7,10911,2018
"Alemania",8,12990,2018
"Alemania",9,18552,2018
"Alemania",10,12443,2018
"Alemania",11,2546,2018
"Alemania",12,1378,2018
"Argentina",1,788,2000
"Argentina",2,775,2000
"Argentina",3,916,2000
"Argentina",4,1566,2000
"Argentina",5,3055,2000
"Argentina",6,2722,2000
"Argentina",7,3826,2000
"Argentina",8,2436,2000
"Argentina",9,2716,2000
"Argentina",10,2462,2000
"Argentina",11,908,2000
"Argentina",12,332,2000
"Argentina",1,1151,2001
"Argentina",2,725,2001
"Argentina",3,1385,2001
"Argentina",4,1527,2001
"Argentina",5,1962,2001
"Argentina",6,2789,2001
"Argentina",7,2687,2001
"Argentina",8,2113,2001
"Argentina",9,2803,2001
"Argentina",10,1499,2001
"Argentina",11,512,2001
"Argentina",12,411,2001
"Argentina",1,466,2002
"Argentina",2,368,2002
"Argentina",3,638,2002
"Argentina",4,1231,2002
"Argentina",5,1052,2002
"Argentina",6,925,2002
"Argentina",7,1015,2002
"Argentina",8,1518,2002
"Argentina",9,1382,2002
"Argentina",10,953,2002
"Argentina",11,715,2002
"Argentina",12,362,2002
"Argentina",1,475,2003
"Argentina",2,430,2003
"Argentina",3,573,2003
"Argentina",4,731,2003
"Argentina",5,720,2003
"Argentina",6,1058,2003
"Argentina",7,1553,2003
"Argentina",8,1178,2003
"Argentina",9,1633,2003
"Argentina",10,1345,2003
"Argentina",11,646,2003
"Argentina",12,368,2003
"Argentina",1,528,2004
"Argentina",2,468,2004
"Argentina",3,289,2004
"Argentina",4,743,2004
"Argentina",5,1614,2004
"Argentina",6,1275,2004
"Argentina",7,1923,2004
"Argentina",8,1157,2004
"Argentina",9,1621,2004
"Argentina",10,1615,2004
"Argentina",11,782,2004
"Argentina",12,517,2004
"Australia",1,27,2000
"Australia",2,29,2000
"Australia",3,80,2000
"Australia",4,129,2000
"Australia",5,137,2000
"Australia",6,237,2000
"Australia",7,106,2000
"Australia",8,195,2000
"Australia",9,113,2000
"Australia",10,139,2000
"Australia",11,86,2000
"Australia",12,13,2000
"Australia",1,22,2001
"Australia",2,16,2001
"Australia",3,18,2001
"Australia",4,68,2001
"Australia",5,141,2001
"Australia",6,223,2001
"Australia",7,442,2001
"Australia",8,206,2001
"Australia",9,327,2001
"Australia",10,145,2001
"Australia",11,30,2001
"Australia",12,78,2001
"Australia",1,62,2002
"Australia",2,28,2002
"Australia",3,95,2002
"Australia",4,111,2002
"Australia",5,380,2002
"Australia",6,399,2002
"Australia",7,209,2002
"Australia",8,435,2002
"Australia",9,241,2002
"Australia",10,277,2002
"Australia",11,64,2002
"Australia",12,40,2002
"Australia",1,213,2003
"Australia",2,34,2003
"Australia",3,34,2003
"Australia",4,90,2003
"Australia",5,488,2003
"Australia",6,415,2003
"Australia",7,304,2003
"Australia",8,152,2003
"Australia",9,602,2003
"Australia",10,226,2003
"Australia",11,109,2003
"Australia",12,12,2003
"Australia",1,108,2004
"Australia",2,40,2004
"Australia",3,60,2004
"Australia",4,135,2004
"Australia",5,383,2004
"Australia",6,525,2004
"Australia",7,332,2004
"Australia",8,384,2004
"Australia",9,302,2004
"Australia",10,165,2004
"Australia",11,125,2004
"Australia",12,23,2004
"Austria",1,37,2000
"Austria",2,54,2000
"Austria",3,72,2000
"Austria",4,204,2000
"Austria",5,794,2000
"Austria",6,379,2000
"Austria",7,408,2000
"Austria",8,584,2000
"Austria",9,457,2000
"Austria",10,246,2000
"Austria",11,300,2000
"Austria",12,27,2000
"Austria",1,0,2001
"Austria",2,50,2001
"Austria",3,75,2001
"Austria",4,300,2001
"Austria",5,485,2001
"Austria",6,438,2001
"Austria",7,550,2001
"Austria",8,572,2001
"Austria",9,492,2001
"Austria",10,366,2001
"Austria",11,60,2001
"Austria",12,13,2001
"Austria",1,75,2002
"Austria",2,49,2002
"Austria",3,418,2002
"Austria",4,589,2002
"Austria",5,540,2002
"Austria",6,744,2002
"Austria",7,372,2002
"Austria",8,1044,2002
"Austria",9,543,2002
"Austria",10,506,2002
"Austria",11,181,2002
"Austria",12,174,2002
"Austria",1,35,2003
"Austria",2,56,2003
"Austria",3,68,2003
"Austria",4,398,2003
"Austria",5,701,2003
"Austria",6,942,2003
"Austria",7,529,2003
"Austria",8,643,2003
"Austria",9,1435,2003
"Austria",10,376,2003
"Austria",11,131,2003
"Austria",12,28,2003
"Austria",1,15,2004
"Austria",2,51,2004
"Austria",3,86,2004
"Austria",4,422,2004
"Austria",5,707,2004
"Austria",6,534,2004
"Austria",7,681,2004
"Austria",8,740,2004
"Austria",9,444,2004
"Austria",10,203,2004
"Austria",11,66,2004
"Austria",12,63,2004
"Austria",1,58,2005
"Austria",2,121,2005
"Austria",3,25,2005
"Austria",4,695,2005
"Austria",5,862,2005
"Austria",6,1410,2005
"Austria",7,730,2005
"Austria",8,550,2005
"Austria",9,1048,2005
"Austria",10,599,2005
"Austria",11,197,2005
"Austria",12,93,2005
"Austria",1,77,2006
"Austria",2,87,2006
"Austria",3,146,2006
"Austria",4,1355,2006
"Austria",5,681,2006
"Austria",6,906,2006
"Austria",7,732,2006
"Austria",8,1126,2006
"Austria",9,873,2006
"Austria",10,471,2006
"Austria",11,144,2006
"Austria",12,57,2006
"Austria",1,141,2007
"Austria",2,99,2007
"Austria",3,187,2007
"Austria",4,943,2007
"Austria",5,1323,2007
"Austria",6,1545,2007
"Austria",7,760,2007
"Austria",8,1161,2007
"Austria",9,914,2007
"Austria",10,556,2007
"Austria",11,123,2007
"Austria",12,61,2007
"Austria",1,134,2008
"Austria",2,121,2008
"Austria",3,518,2008
"Austria",4,398,2008
"Austria",5,2093,2008
"Austria",6,1245,2008
